ID;BIRTHDATE;AGE;SSN;DRIVERS;PASSPORT;PREFIX;SUFFIX;MAIDEN;MARITAL;GENDER;ADDRESS;DESCRIPTION
fdcc0376-2b51-4aae-ab01-1f967fd920c8;1976-08-16;48;999-24-3781;S99992176;X41388011X;Mr.;;;M;M;171 Avery Summit Suite 878 Eastham MA 02642 US;Acute viral pharyngitis (disorder)
857e9420-cc4f-4854-b773-261e7e45289f;1964-03-19;60;999-50-9004;S99911372;false;Mrs.;;Bechtelar324;M;F;73874 Josh Green Barnstable MA 02630 US;Hypertension
a9373433-9505-4f7d-9e9f-a3b2407e8b86;2013-09-07;11;999-30-9750;;;;;;;M;68063 Bosco Crest Eastham MA 02642 US;Acute viral pharyngitis (disorder)
e2929825-7fae-4afa-b994-de647715767f;1962-04-25;62;999-94-5708;S99984095;false;Ms.;;;S;F;5292 Amiya Ports Suite 966 Eastham MA 02642 US;Brain damage - traumatic
964dc70c-55c4-402a-8f6b-05d0c2d5adc8;1947-01-07;65;999-68-5588;S99975381;false;Mr.;;;S;M;6566 Mohammad Brook Eastham MA 02642 US;Chronic sinusitis (disorder)
5f1763ae-6097-42fc-b8fe-fb4f9cc77fb6;1966-02-01;58;999-36-5776;S99980572;X90804345X;Mr.;;;S;M;804 Rice Road Eastham MA 02642 US;Hypertension
e02adeae-0239-4ab9-aa63-7a966101e8ad;1965-06-24;59;999-53-4112;S99987464;false;Mrs.;;Donnelly502;M;F;20614 Littel Point Apt. 899 Chatham MA 02633 US;Chronic sinusitis (disorder)
7f9a990b-7585-4681-bd78-3ef5e2b2ebee;1953-05-05;71;999-67-8708;S99975929;X49619999X;Mrs.;;Crona311;M;F;51637 Chaim Cape Eastham MA 02642 US;Hypertension
9fc520fc-7eaa-46a9-b253-4f9f8b1867a6;1996-09-14;28;999-31-2574;S99938336;false;Ms.;;;;F;1777 Ben Flat Suite 675 Eastham MA 02642 US;Childhood asthma
691538c5-4e35-45a2-9646-cdcc50fd241e;1951-11-26;73;999-40-2341;S99994884;X15829819X;Mr.;;;M;M;98767 Christ Throughway Brewster MA 02631 US;Prediabetes
bf31ca5d-9762-4e65-87a1-b0731cd89364;2006-10-27;18;999-73-8524;;;;;;;F;2578 Sadye Ville Suite 431 Eastham MA 02642 US;Otitis media
f557d7b4-8dac-4d10-9ff8-c53f32e64d63;2007-12-08;17;999-24-1926;;;;;;;M;487 Jacobson Loop Suite 872 Eastham MA 02642 US;Fracture subluxation of wrist
21078fa3-043b-4ec0-b13b-eb631818ebdd;2001-01-04;24;999-21-2260;S99966738;;;;;;M;22909 Oma Run Apt. 278 Barnstable MA 02630 US;Child attention deficit disorder
bbfa6679-9148-473c-adfa-1446a34303d3;1963-03-30;61;999-92-9363;S99935478;X76216383X;Mrs.;;Halvorson187;M;F;68653 Medhurst Falls Apt. 573 Eastham MA 02642 US;Perennial allergic rhinitis with seasonal variation
41fa6765-89e9-4326-8674-62d3e73132ed;1946-09-21;78;999-79-5744;S99979022;X56319971X;Mr.;;;S;M;8811 Hazle Rest Suite 106 Bourne MA 02559 US;Facial laceration
c6352495-b731-4cb7-8050-df96bab48632;1967-03-03;57;999-57-9344;S99993403;false;Mrs.;;Rosenbaum848;M;F;879 River Cove Suite 396 Eastham MA 02642 US;Chronic sinusitis (disorder)
c97d3fe4-2b22-4b37-b037-862f533d3440;1948-08-12;8;999-79-7077;;;;;;;F;7525 Laisha Haven Barnstable MA 02630 US;Coronary Heart Disease
3489af9e-9999-455c-839f-52bd59c59407;2009-02-11;3;999-76-1210;;;;;;;M;265 Krystal Wall Apt. 811 Bourne MA 02559 US;Otitis media
80cbc83a-f24a-4204-b296-dd2de8269833;2001-05-01;23;999-46-7026;S99950218;;;;;;M;16075 Bobbie Gateway Apt. 782 Eastham MA 02642 US;Viral sinusitis (disorder)
3aa98c8d-0c75-4bbc-883e-ee0c8f4f9990;1946-05-17;78;999-43-7083;S99948422;X92496646X;Mrs.;;Cronin520;M;F;756 Christiansen Mall Eastham MA 02642 US;Hypertension
8133b0cb-09ba-4001-ab3f-6e75f6e24a36;1959-10-13;31;999-61-5544;S99915278;false;Mr.;;;M;M;25870 Agustina Plaza Chatham MA 02633 US;Sprain of ankle
908782f6-4e69-40f4-a2b2-118164ea1df6;1998-03-08;26;999-10-4107;S99925467;;Ms.;;;;F;912 Shanahan Mountain Eastham MA 02642 US;Viral sinusitis (disorder)
218a1736-2f06-417e-80e9-b5f5ee1612e2;2008-08-15;16;999-17-6026;;;;;;;M;914 Carmine Rest Apt. 771 Bourne MA 02559 US;Viral sinusitis (disorder)
4382c78e-3180-4132-be82-2ed1aa948ca5;1947-03-04;77;999-36-6101;S99934625;false;Mr.;;;S;M;928 Ashly Estates Suite 637 Eastham MA 02642 US;Viral sinusitis (disorder)
baf98c87-9c35-4332-88ca-da8c782bfb56;1976-06-23;48;999-77-5554;S99955170;false;Mr.;;;M;M;63426 Ardith Extension Brewster MA 02631 US;Perennial allergic rhinitis
1d983e7b-da09-496e-a0a7-5f6eb1aab6bf;1987-09-27;37;999-33-8505;S99986889;false;Mrs.;;Rempel495;M;F;9991 Leila Turnpike Eastham MA 02642 US;Hypertension
c49d458e-2a0a-45c4-9366-61a11b4f5ab9;1985-10-21;39;999-45-9409;S99985868;X57731218X;Mrs.;;Casper135;M;F;29952 Pablo Radial Barnstable MA 02630 US;Normal pregnancy
ea5c2e05-36fa-40dc-8add-b49a78bad6d0;1933-06-14;91;999-50-1413;S99943080;X34928232X;Mrs.;;Monahan893;M;F;11885 Kreiger Circles Eastham MA 02642 US;Hypertension
6a5dc39d-b575-43d4-b07b-5cee25044dbb;2002-05-06;22;999-83-5409;;;;;;;M;679 Jones Knolls Brewster MA 02631 US;Streptococcal sore throat (disorder)
5ab75a2a-d9e0-4490-ba7d-6548a32c9ff6;1943-10-23;81;999-87-3067;S99968279;X90072471X;Mrs.;;Gusikowski964;M;F;699 Konopelski Islands Suite 943 Dennis MA 02638 US;Chronic sinusitis (disorder)
2a394eff-82b3-4ff7-aef5-9d6a8112fbe1;2008-04-09;16;999-68-5137;;;;;;;F;2657 Krajcik Common Suite 182 Dennis MA 02638 US;Otitis media
cffd444d-53ad-4d51-86f6-21a8efc1b6f3;1946-09-01;78;999-58-6161;S99930873;X21048948X;Mr.;;;M;M;389 Macy Glens Suite 183 Eastham MA 02642 US;Hypertension
52e8ba2e-d934-4c3b-b325-d3fe7c7b6fe3;1960-05-03;64;999-66-9265;S99968251;false;Mrs.;;Kutch479;M;F;5106 Vincenzo Springs Suite 990 Eastham MA 02642 US;Asthma
d60aab8d-e8aa-4a38-85ed-2967dc6e4aec;1933-04-30;91;999-36-6385;S99948551;false;Ms.;;;S;F;31928 Morissette Vista Suite 280 Eastham MA 02642 US;Chronic sinusitis (disorder)
33430040-8ad9-4732-b2ae-77afb19b7a27;1966-12-16;58;999-82-2715;S99976010;X74207162X;Mrs.;;Sauer496;M;F;90817 Jerod Manor Barnstable MA 02630 US;Hypertension
f7c4dbe1-740c-4843-921e-17a7b9615690;1967-07-08;57;999-81-5836;S99945497;false;Mrs.;;Kreiger23;M;F;6905 Ritchie Track Suite 724 Eastham MA 02642 US;Chronic sinusitis (disorder)
ab38d528-6568-4c97-9d9c-e6aa2767387b;1961-06-09;63;999-60-3714;S99937649;false;Mrs.;;McCullough226;M;F;440 Flo Center Eastham MA 02642 US;Appendicitis
6ef61e9f-8ed1-4678-a3b2-7c6024ee27f2;1943-02-21;44;999-20-7260;S99961729;false;Ms.;;;S;F;69556 Miles Spring Brewster MA 02631 US;Prediabetes
d97e1bf6-532d-4a7e-aa32-66400be758ed;1992-02-17;32;999-83-5532;S99948034;X91291909X;Ms.;;;;F;6599 Haley Wall Apt. 519 Chatham MA 02633 US;Acute bronchitis (disorder)
9e08e4ac-44c0-4573-b2f1-51271209fd8c;1958-08-23;66;999-47-3663;S99962184;X40906370X;Mrs.;;Hartmann887;M;F;7090 Rohan Field Suite 154 Eastham MA 02642 US;Diabetes
5f04727d-d7a2-4953-8e5a-335c1b70f791;2003-04-20;21;999-14-8946;;;;;;;M;88621 Paucek Fields Apt. 533 Barnstable MA 02630 US;Child attention deficit disorder
c5ad263a-32f6-40b0-bcba-43701e900f42;1960-05-02;56;999-71-4911;S99995561;X87011951X;Mr.;;;S;M;920 Corwin Keys Apt. 904 Chatham MA 02633 US;Hypertension
ab268462-b96b-4e65-bc34-370eec2179fc;1957-08-17;26;999-61-1838;S99945209;false;Mr.;;;;M;793 Gutkowski Land Dennis MA 02638 US;Acute viral pharyngitis (disorder)
bb9ca57a-784d-4f7e-ae13-65c2acc42828;1992-11-06;32;999-37-8549;S99950006;X57011238X;Mr.;;;;M;945 Morton Vista Dennis MA 02638 US;Concussion with no loss of consciousness
2b24b43e-77c5-4da5-8fac-628cff6626ee;1971-01-09;53;999-55-1181;S99931896;X19252628X;Mr.;;;M;M;9844 Purdy Station Apt. 966 Brewster MA 02631 US;Acute viral pharyngitis (disorder)
374f36c9-6d67-474c-a835-4f51004ce5f8;1993-09-12;31;999-51-9087;S99933672;X45218256X;Mr.;;;;M;30106 Jeremy Freeway Suite 161 Eastham MA 02642 US;Acute bronchitis (disorder)
98f5236f-6579-48de-8dcd-2c61a76e6ec6;1969-09-07;55;999-92-7020;S99991672;false;Mrs.;;Reichel503;M;F;80050 Schaden Ways Apt. 329 Chatham MA 02633 US;Acute bronchitis (disorder)
de10fd87-4479-4771-9ccf-84571adbcea5;1948-07-06;76;999-57-8169;S99970143;false;Mrs.;;Jerde959;M;F;120 Krystal Turnpike Suite 929 Barnstable MA 02630 US;Hypertension
a6bf9931-3b28-44a3-b8ac-9faf4932b022;1980-06-24;24;999-30-9851;S99929694;false;Mr.;;;;M;74409 Nitzsche Loaf Apt. 730 Barnstable MA 02630 US;Perennial allergic rhinitis
ab2d83d4-5b14-4dbb-82aa-01dc7f494d91;1970-03-22;54;999-79-6039;S99969182;X43667927X;Mrs.;;Stehr203;M;F;547 Greenfelder Causeway Apt. 641 Dennis MA 02638 US;Sinusitis (disorder)
95964f2b-2f50-4037-801b-ac000b76ba40;1998-05-09;26;999-22-9159;S99916113;;Mr.;;;;M;773 Davis Crest Brewster MA 02631 US;Otitis media
03908486-b783-4789-a810-032bebb6025e;1949-03-08;75;999-22-9620;S99997577;X35349605X;Mr.;;;M;M;70009 Katrine Causeway Chatham MA 02633 US;Chronic sinusitis (disorder)
fd24ba69-dd45-4d4c-b2cc-723b3f10cfd4;1949-12-27;45;999-54-2866;S99974296;X74681501X;Ms.;;;S;F;295 Allan Islands Dennis MA 02638 US;Pulmonary emphysema (disorder)
b5ec7245-487b-4a8f-8455-eb280d05622a;1963-11-30;61;999-67-1523;S99919809;X59007187X;Mr.;;;M;M;93952 Antonio Cliff Dennis MA 02638 US;Chronic sinusitis (disorder)
e5dad4dc-2fa0-446f-bb22-446617603472;1964-01-21;60;999-35-9557;S99966105;X66501198X;Mrs.;;Zemlak802;M;F;9289 Kylie Port Dennis MA 02638 US;Chronic paralysis due to lesion of spinal cord
45a72ec0-fc2a-401c-93a3-55aa3d2be610;1977-10-07;47;999-70-3766;S99974323;X34187130X;Ms.;;;S;F;2462 Morar Loop Barnstable MA 02630 US;Acute viral pharyngitis (disorder)
243ef8a5-33e2-4c4c-bc7f-4ade35da9934;1960-04-05;64;999-58-2714;S99912832;X53016256X;Mr.;;;M;M;31275 Frederick Junctions Chatham MA 02633 US;Hypertension
b6941904-b460-4773-b290-9835cdbc6396;1981-02-02;43;999-85-3326;S99934514;X84847420X;Mr.;;;M;M;36423 Margot Ports Apt. 861 Barnstable MA 02630 US;Viral sinusitis (disorder)
f1e3472f-b44d-4439-a45f-b0ed6bb2cb16;1957-08-05;67;999-66-2021;S99996954;X75483390X;Mr.;;;M;M;74528 Colton Lane Dennis MA 02638 US;Acute viral pharyngitis (disorder)
7b14715b-337e-420f-837e-13276c1f546f;1959-02-24;65;999-19-5872;S99952029;X48570328X;Mr.;;;M;M;1951 Henderson Summit Eastham MA 02642 US;Chronic obstructive bronchitis (disorder)
c4d0968a-8547-42d8-ab82-d8052830fc3f;1943-03-13;81;999-29-7945;S99963440;X32505121X;Ms.;;;S;F;44997 Heathcote Hill Brewster MA 02631 US;Hypertension
d98cd721-4439-46c6-a054-865c406f7c73;1959-06-28;65;999-86-9020;S99968756;false;Mr.;;;S;M;198 Walsh Lake Brewster MA 02631 US;Seasonal allergic rhinitis
72a8d956-6261-48ac-aae9-07b8b629e9b3;1952-01-27;72;999-90-2926;S99999786;false;Ms.;;;S;F;2273 Elijah Island Bourne MA 02559 US;Prediabetes
5ce51201-7499-4ac8-ac47-a044c8dd5e69;1971-05-15;53;999-94-1961;S99951748;X28283828X;Mrs.;;Schuppe795;M;F;620 Emory Islands Chatham MA 02633 US;Acute viral pharyngitis (disorder)
1e1599dc-e0ab-49a7-b581-5dde343626e7;1952-07-16;72;999-83-6901;S99930781;X95404557X;Mrs.;;Witting337;M;F;98837 Alena Well Suite 425 Brewster MA 02631 US;Prediabetes
f53e661f-2feb-4b10-8a73-f9c89c6b5ae2;1984-07-19;40;999-53-6384;S99992738;X69496618X;Mr.;;;M;M;579 Sedrick Wall Suite 214 Barnstable MA 02630 US;Chronic sinusitis (disorder)
0bd58270-f701-4ded-963e-9a32b0fee308;1996-02-25;28;999-90-1972;S99942723;false;Mr.;;;;M;6390 Joey Skyway Suite 977 Bourne MA 02559 US;Viral sinusitis (disorder)
50b62194-aaa0-4169-9bc0-eac27cc296bf;1963-06-03;61;999-74-8261;S99999868;X52001025X;Mrs.;;Grady368;M;F;7936 Jackeline Terrace Suite 314 Chatham MA 02633 US;Prediabetes
94df89dc-e456-42a2-8099-258a697b8fcc;1967-01-27;57;999-42-1763;S99972973;X13637110X;Mr.;;;M;M;653 Irving Route Apt. 882 Barnstable MA 02630 US;Chronic sinusitis (disorder)
23c1c58b-94a3-47fa-b9ca-ed539fcf30ab;1982-05-29;42;999-59-4306;S99990375;X26039159X;Mr.;;;M;M;14883 Craig Turnpike Apt. 618 Bourne MA 02559 US;Appendicitis
a2fc43eb-b6eb-45d8-8134-1e8c0b52b86a;1940-05-06;84;999-25-9125;S99927560;X48312618X;Ms.;;;S;F;60365 Cheyenne Avenue Suite 567 Chatham MA 02633 US;Chronic sinusitis (disorder)
fbe9330e-cb63-4fe8-b29c-125ffd6bd494;1945-07-22;79;999-13-1966;S99912984;X65076068X;Mr.;;;M;M;2796 Towne Haven Apt. 507 Barnstable MA 02630 US;Chronic sinusitis (disorder)
0f6474b0-f2d7-486d-8bdd-5ae555472384;1943-12-30;81;999-12-6738;S99958871;X35721115X;Ms.;;;S;F;1860 Demetris Brooks Brewster MA 02631 US;Viral sinusitis (disorder)
d6f0bfcc-0093-4ba9-bebb-888b8caee2d4;1952-11-16;72;999-60-1592;S99916887;X91259077X;Mr.;;;M;M;75521 Medhurst Ways Suite 130 Dennis MA 02638 US;Chronic sinusitis (disorder)
b78cb7ce-3aac-40a8-90c2-d0f9b434db35;1980-12-11;44;999-45-7323;S99959396;X69472009X;Mrs.;;Swaniawski131;M;F;4319 Dagmar Cape Suite 197 Barnstable MA 02630 US;Seasonal allergic rhinitis
66456516-3f76-4457-a0b9-bb670d6df9d6;2014-01-17;10;999-71-2402;;;;;;;M;631 Hettinger Fords Suite 649 Dennis MA 02638 US;Sprain of wrist
39fa0a46-239c-4cb4-bf38-a3e48349c2f8;1970-11-29;54;999-18-9893;S99974790;X58559211X;Mr.;;;M;M;9089 Joanie Way Apt. 220 Eastham MA 02642 US;Prediabetes
bba68444-713a-4ac2-8205-7752e1b7e91b;2001-04-12;23;999-76-8148;S99975881;;;;;;M;4567 Jerod Wells Apt. 869 Brewster MA 02631 US;Laceration of thigh
9813eb4a-cd8d-4151-b57b-6888526899cd;1987-02-08;37;999-71-3698;S99946353;X14922498X;Mr.;;;M;M;7613 Cassidy Hills Bourne MA 02559 US;Viral sinusitis (disorder)
d85f602c-9f60-4968-800a-2ef0752e410a;1957-04-25;67;999-24-8898;S99954870;X70034689X;Mrs.;;O'Hara796;M;F;634 Klocko Isle Suite 386 Chatham MA 02633 US;Prediabetes
25d17c59-4d2a-4e47-99a3-a00395109eb6;1908-03-16;39;999-20-7537;S99962016;X85107280X;Mrs.;;Streich664;M;F;582 Tyshawn Plaza Suite 419 Barnstable MA 02630 US;Prediabetes
a37a8904-702b-424f-8f77-f16d0bcd82d4;2002-11-03;22;999-91-1477;;;;;;;M;491 Grimes Viaduct Suite 599 Chatham MA 02633 US;First degree burn
ebce206d-d04c-4887-bb81-40e422121a92;1967-03-16;57;999-95-4345;S99953365;X69462119X;Mr.;;;S;M;41764 Jazmyn Plains Suite 576 Barnstable MA 02630 US;Acute bronchitis (disorder)
a8caa5a2-b9f4-4c5d-8a9b-8a6bea9b982f;2008-03-07;16;999-61-8127;;;;;;;M;7458 Romaguera Prairie Chatham MA 02633 US;Otitis media
b3886c5d-b9e8-464e-ac39-c4875e908d0e;1967-11-16;57;999-89-2080;S99942884;X88238537X;Mr.;;;M;M;9472 Hessel Spur Dennis MA 02638 US;Hypertension
0284c1e2-3d52-49e8-86f1-303bcd99d0c9;1951-04-20;52;999-61-9375;S99992258;X36489166X;Mr.;;;S;M;16138 Osvaldo Summit Apt. 620 Eastham MA 02642 US;Hypertension
03d889ba-5cdc-444a-bcb0-e86b705e860e;1959-10-07;65;999-95-6418;S99931035;false;Mr.;;;S;M;31357 Ole Ridge Dennis MA 02638 US;Osteoarthritis of hip
f9b9358c-172b-4474-ac62-c67236ee1f79;2005-08-23;19;999-64-9875;;;;;;;M;47872 Gottlieb Ferry Chatham MA 02633 US;Viral sinusitis (disorder)
4d2836d8-73df-4de7-8a89-9142bc377aaa;1952-05-25;60;999-91-7811;S99946019;false;Mr.;;;S;M;497 Kraig Gardens Suite 247 Dennis MA 02638 US;Hypertension
257ba1a2-e0a0-4319-8f6e-0bfdef8f6c01;1955-04-27;69;999-89-2675;S99994419;X35864805X;Mrs.;;Pacocha576;M;F;6905 Adele Extensions Eastham MA 02642 US;Chronic sinusitis (disorder)
1bf23e46-1a4f-412b-bd7a-8bfcf1985617;1935-04-30;77;999-41-1757;S99946806;X25887577X;Mr.;;;M;M;93973 Jalon Cove Suite 450 Brewster MA 02631 US;Hypertension
1516c893-273b-40b1-99d1-789e452d008c;1980-12-17;44;999-36-8834;S99973313;false;Mr.;;;S;M;606 Olen Prairie Apt. 690 Brewster MA 02631 US;Acute viral pharyngitis (disorder)
4daf42a3-b6a8-49fc-9e55-32f57a1ac344;2001-07-12;23;999-43-1200;;;;;;;M;41627 Benjamin Branch Apt. 825 Barnstable MA 02630 US;Child attention deficit disorder
39124658-0e5a-496b-b46f-9ce147023a59;1953-09-15;71;999-87-5954;S99974792;X55630018X;Mrs.;;Kling953;M;F;98250 Thaddeus Alley Barnstable MA 02630 US;Atopic dermatitis
dc6af68b-b7b8-4645-8595-ae555505f2da;1935-08-08;89;999-58-6212;S99960176;false;Mrs.;MD;Beatty236;M;F;75706 Kenna Fork Apt. 993 Bourne MA 02532 US;Chronic paralysis due to lesion of spinal cord
6271783c-d27e-4d6e-9baf-66baddb20863;1945-02-28;79;999-17-5750;S99929173;false;Mrs.;;Hamill808;M;F;4510 Christopher Drives Apt. 700 Bourne MA 02532 US;Osteoporosis (disorder)
7e419284-f400-4ea2-8f2a-8ad7687d1264;1944-09-11;80;999-23-7235;S99998030;X43524277X;Mr.;;;M;M;648 Deangelo Spurs Barnstable MA 02630 US;Hypertension
e97a2594-a73f-4f80-9499-effea051c748;1952-03-25;60;999-12-7244;S99943728;X43168704X;Mrs.;;Kautzer530;M;F;4479 Enid Meadow Apt. 974 Barnstable MA 02630 US;Hypertension
048ffcd2-bb77-415d-8d49-2d74fa3ca5be;1953-02-15;71;999-59-7880;S99978083;false;Mr.;;;M;M;35184 Huel Fort Barnstable MA 02630 US;Prediabetes
a3a5683a-4279-4656-9b72-e16d4b326b38;1949-06-06;75;999-47-4421;S99950134;false;Mr.;;;M;M;49565 Blanda Mountain Bourne MA 02559 US;Chronic sinusitis (disorder)
9581676d-44e5-404c-9573-a629a9b3e108;1999-06-07;25;999-29-2527;S99932276;;;;;;F;75791 Aracely Crossing Chatham MA 02633 US;Atopic dermatitis
ec6f3d37-0680-4519-963f-31aaaa39e2ce;1934-02-26;77;999-54-5118;S99954470;false;Mr.;;;M;M;6080 Diana Groves Barnstable MA 02630 US;Appendicitis
